,link,site,title,rating,fc_date,fc_year,fc_month,fc_day
0,https://www.logically.ai/factchecks/library/a11b7d71,logically,A Video shows Marjorie Taylor Greene auditioning for American Idol.,FALSE,2022-09-05,2022,9,5
1,https://www.logically.ai/factchecks/library/3fa5ff3b,logically,The U.K. government has changed its recommendations regarding COVID-19 vaccines for pregnant women.,FALSE,2022-09-05,2022,9,5
2,https://www.logically.ai/factchecks/library/20393d5e,logically,Indian actor Yash announced a ₹50 crore donation for the construction of Ram Mandir.,FALSE,2022-09-05,2022,9,5
3,https://www.logically.ai/factchecks/library/c8c963dd,logically,A soldier shot a stone pelter in Jammu and Kashmir.,FALSE,2022-09-05,2022,9,5
4,https://www.logically.ai/factchecks/library/15221c54,logically,Locals in Kashmir lit fireworks to celebrate the Pakistan cricket team's victory against India on September 4.,FALSE,2022-09-05,2022,9,5
5,https://www.logically.ai/factchecks/library/6e35c7da,logically,State Disaster Response Force saved a drowning child from Chambal river amid floods.,FALSE,2022-09-05,2022,9,5
6,https://www.logically.ai/factchecks/library/2d201c48,logically,Energy bills in the U.K. have risen by 215 percent since 2021.,MISLEADING,2022-09-05,2022,9,5
7,https://www.logically.ai/factchecks/library/3244d85c,logically,Indian journalist Ravish Kumar resigned from NDTV after Adani Group acquired 29.18 percent stake in the news channel.,FALSE,2022-09-05,2022,9,5
8,https://www.logically.ai/factchecks/library/d373b599,logically,Boris Johnson advised the public to replace old kettles in order to save on energy bills.,FALSE,2022-09-02,2022,9,2
9,https://www.logically.ai/factchecks/library/30a0f7e6,logically,An Aam Aadmi Party billboard written in Gujarati asks Gujarat to offer Namaz and quit unnecessary practices like reading Bhagwat Saptah and Satyanarayan Katha.,FALSE,2022-09-02,2022,9,2
10,https://www.logically.ai/factchecks/library/2391b79f,logically,Lithium leach fields kill birds within minutes after they land on the fields.,MISLEADING,2022-09-02,2022,9,2
11,https://www.logically.ai/factchecks/library/e79f144e,logically,U.K. hotels are housing U.N. troops disguised as asylum seekers.,FALSE,2022-09-02,2022,9,2
12,https://www.logically.ai/factchecks/library/6047d3b8,logically,"India released a tremendous amount of water into Ravi, intentionally causing floods in Pakistan.",FALSE,2022-09-02,2022,9,2
13,https://www.logically.ai/factchecks/library/7d89eef2,logically,The higher mortality rates in Israel in 2021 and 2022 are due to vaccines.,FALSE,2022-09-02,2022,9,2
14,https://www.logically.ai/factchecks/library/9e2233bd,logically,The NHS has changed its guidelines regarding vaccination for pregnant and breastfeeding women.,FALSE,2022-09-02,2022,9,2
15,https://www.logically.ai/factchecks/library/7c845833,logically,A Hindu woman was physically assaulted by a group of people in Pakistan.,MISLEADING,2022-09-02,2022,9,2
16,https://www.logically.ai/factchecks/library/abd6b328,logically,Starbucks will stop accepting cash in the U.K.,MISLEADING,2022-09-02,2022,9,2
17,https://www.logically.ai/factchecks/library/0589ba43,logically,BCCI Secretary Jay Shah insulted the Tricolor by refusing to hold it after India's win in Asia Cup.,FALSE,2022-09-02,2022,9,2
18,https://www.logically.ai/factchecks/library/da2fa41f,logically,Climate change is not responsible for the 2022 Pakistan floods.,FALSE,2022-09-02,2022,9,2
19,https://www.logically.ai/factchecks/library/7f863817,logically,Trump's National Golf Club resort in New Jersey will be exempt from taxes as it is his ex-wife's burial site.,MISLEADING,2022-09-01,2022,9,1
20,https://www.logically.ai/factchecks/library/c228824b,logically,Politicians voted to dump sewage into British waterways.,MISLEADING,2022-09-01,2022,9,1
21,https://www.logically.ai/factchecks/library/9d21bc19,logically,A U.K. billboard in the Ukrainian flag colors suggests people will be cold in winter because the government chose to help Ukraine.,FALSE,2022-09-01,2022,9,1
22,https://www.logically.ai/factchecks/library/3204ed32,logically,"J.K. Rowling tweeted that LGBTQ people should live ""in the closet.""",FALSE,2022-09-01,2022,9,1
23,https://www.logically.ai/factchecks/library/f3d28a13,logically,"A video shows Union Minister Nitin Gadkari making a dig at the Modi government, which led to his removal from the party's parliamentary board.",MISLEADING,2022-09-01,2022,9,1
24,https://www.logically.ai/factchecks/library/c4e61252,logically,"The World Economic Forum wants to microchip humans with augmented reality, including healthy adults and children, in order to control society.",FALSE,2022-09-01,2022,9,1
25,https://www.logically.ai/factchecks/library/1f36d62d,logically,Indian National Security Advisor Ajit Doval was recently spotted with his wife Aruni Doval at the airport.,FALSE,2022-09-01,2022,9,1
